"barrio_mapa","accidentes","tasa_graves","riesgo"
"La Castellana",605,0.49,"Bajo"
"Moravia",1100,0.64,"Alto"
"U.P.B",100,0.35,"Bajo"
"Cerro Nutibara",572,0.56,"Medio"
"Mirador del Doce",34,0.85,"Bajo"
"El Nogal-Los Almendros",356,0.47,"Bajo"
"El Triunfo",35,0.91,"Bajo"
"Enciso",532,0.73,"Medio"
"La Esperanza",NA,NA,NA
"Las Estancias",209,0.8,"Bajo"
"Pablo VI",80,0.68,"Bajo"
"Ecoparque Cerro El Volador",NA,NA,NA
"Versalles No.1",433,0.69,"Medio"
"Altos del Poblado",224,0.49,"Bajo"
"Universidad Nacional",1575,0.52,"Alto"
"El Diamante",825,0.78,"Medio"
"Palenque",328,0.62,"Bajo"
"Barrio Colombia",961,0.45,"Medio"
"Rosales",1192,0.54,"Alto"
"Urquitá",NA,NA,NA
"Potrera Miserenga",NA,NA,NA
"Campo Amor",3152,0.49,"Alto"
"La Aguacatala",1648,0.41,"Alto"
"El Pinal",442,0.66,"Medio"
"Fuente Clara",69,0.84,"Bajo"
"Santo Domingo Savio No.2",148,0.81,"Bajo"
"Las Granjas",936,0.76,"Medio"
"Barrios de Jesús",210,0.69,"Bajo"
"Toscana",582,0.6,"Medio"
"Los Pinos",945,0.51,"Medio"
"Gerona",363,0.71,"Bajo"
"Santa Teresita",223,0.55,"Bajo"
"Francisco Antonio Zea",497,0.7,"Medio"
"La Mota",322,0.55,"Bajo"
"La Hondonada",129,0.6,"Bajo"
"Llanaditas",51,0.8,"Bajo"
"Nuevos Conquistadores",84,0.79,"Bajo"
"La América",905,0.54,"Medio"
"Loreto",559,0.7,"Medio"
"Picachito",54,0.93,"Bajo"
"La Alpujarra",901,0.43,"Medio"
"Corazón de Jesús",2011,0.42,"Alto"
"Buenos Aires",829,0.63,"Medio"
"Guayabal",1973,0.49,"Alto"
"Las Playas",458,0.6,"Medio"
"Área de Expansión San Cristóbal",NA,NA,NA
"Eduardo Santos",40,0.75,"Bajo"
"Área de Expansión Altavista",44,0.84,"Bajo"
"Área de Expansión Belén Rincón",10,0.7,"Bajo"
"Cabecera Urbana Corregimiento San Cristóbal",NA,NA,NA
"San José del Manzanillo",NA,NA,NA
"Santa Elena Sector Central",NA,NA,NA
"Sevilla",1026,0.54,"Medio"
"Santa Inés",434,0.73,"Medio"
"El Progreso",1370,0.52,"Alto"
"Castropol",801,0.45,"Medio"
"Belalcázar",440,0.56,"Medio"
"Guayaquil",2980,0.42,"Alto"
"El Placer",NA,NA,NA
"Altavista Sector Central",113,0.81,"Bajo"
"El Salvador",466,0.64,"Medio"
"Buga Patio Bonito",41,0.63,"Bajo"
"La Esperanza",NA,NA,NA
"El Plan",NA,NA,NA
"El Jardín",NA,NA,NA
"El Llano SE",NA,NA,NA
"La Verde",NA,NA,NA
"El Cerro",NA,NA,NA
"Montañita",NA,NA,NA
"San Antonio de Prado",NA,NA,NA
"La Florida",NA,NA,NA
"El Salado",156,0.74,"Bajo"
"Las Palmas",NA,NA,NA
"San José",NA,NA,NA
"Palmitas Sector Central",NA,NA,NA
"Boquerón",NA,NA,NA
"El Carmelo",NA,NA,NA
"Área de Expansión El Noral",NA,NA,NA
"Las Violetas",314,0.68,"Bajo"
"Santa María de Los Ángeles",878,0.38,"Medio"
"La Pradera",332,0.73,"Bajo"
"San Diego",2316,0.42,"Alto"
"El Salado",156,0.74,"Bajo"
"Bello Horizonte",275,0.68,"Bajo"
"Villa Nueva",2360,0.48,"Alto"
"Batallón Cuarta Brigada",NA,NA,NA
"Los Balsos No.1",293,0.33,"Bajo"
"Villa Carlota",1739,0.42,"Alto"
"El Compromiso",73,0.71,"Bajo"
"Pajarito",70,0.7,"Bajo"
"La Libertad",258,0.67,"Bajo"
"San Martín de Porres",483,0.73,"Medio"
"Las Brisas",815,0.62,"Medio"
"Villa Lilliam",92,0.82,"Bajo"
"Santander",431,0.81,"Medio"
"Las Playas",458,0.6,"Medio"
"San Pablo",NA,NA,NA
"Las Esmeraldas",349,0.63,"Bajo"
"San Miguel",672,0.71,"Medio"
"Barrio Caicedo",753,0.64,"Medio"
"B. Cerro El Volador",130,0.61,"Bajo"
"Santa Margarita",132,0.74,"Bajo"
"Suramericana",1410,0.42,"Medio"
"San Pedro",775,0.54,"Medio"
"Villa Turbay",38,0.87,"Bajo"
"Eduardo Santos",40,0.75,"Bajo"
"Asomadera No.1",289,0.44,"Bajo"
"Bomboná No.2",269,0.63,"Bajo"
"Popular",382,0.71,"Medio"
"La Cruz",83,0.75,"Bajo"
"San Germán",476,0.56,"Medio"
"Progreso No.2",NA,NA,NA
"Las Palmas",NA,NA,NA
"Barrio Cristóbal",126,0.6,"Bajo"
"Girardot",869,0.68,"Medio"
"Los Balsos No.2",619,0.21,"Bajo"
"Los Colores",1510,0.63,"Alto"
"Palermo",249,0.65,"Bajo"
"San Joaquín",535,0.5,"Medio"
"La Candelaria",4097,0.44,"Alto"
"Manila",1435,0.35,"Medio"
"Batallón Girardot",9,0.78,"Bajo"
"Villatina",371,0.75,"Medio"
"Barrio Colón",2884,0.4,"Alto"
"Jardín Botánico",165,0.53,"Bajo"
"San Isidro",800,0.73,"Medio"
"San José La Cima No.2",17,0.94,"Bajo"
"Antonio Nariño",212,0.8,"Bajo"
"Ferrini",212,0.53,"Bajo"
"La Ilusión",NA,NA,NA
"Córdoba",398,0.69,"Medio"
"Estación Villa",941,0.51,"Medio"
"Florencia",292,0.7,"Bajo"
"Cementerio Universal",151,0.5,"Bajo"
"Aures No.2",453,0.82,"Medio"
"Blanquizal",69,0.75,"Bajo"
"La Ladera",63,0.6,"Bajo"
"Asomadera No.2",385,0.38,"Bajo"
"Parque Norte",333,0.56,"Bajo"
"Sucre",559,0.66,"Medio"
"La Palma",532,0.58,"Medio"
"El Astillero",NA,NA,NA
"Potrerito",4,0.75,"Bajo"
"Área de Expansión Pajarito",617,0.77,"Medio"
"Área de Expansión San Antonio de Prado",42,0.69,"Bajo"
"La Loma",14,0.71,"Bajo"
"Yarumalito",NA,NA,NA
"Mazo",NA,NA,NA
"El Corazón El Morro",NA,NA,NA
"La Salle",456,0.75,"Medio"
"La Piñuela",268,0.75,"Bajo"
"López de  Mesa",734,0.76,"Medio"
"Yolombo",4,1,"Bajo"
"El Picacho",17,0.76,"Bajo"
"La Cuchilla",NA,NA,NA
"El Llano",NA,NA,NA
"La Colina",440,0.6,"Medio"
"San Javier No.1",603,0.71,"Medio"
"Campo Alegre",434,0.69,"Medio"
"Altavista",301,0.6,"Bajo"
"La Sucia",NA,NA,NA
"La Aldea",NA,NA,NA
"Héctor Abad Gómez",693,0.59,"Medio"
"Castilla",2066,0.74,"Alto"
"Florida Nueva",644,0.51,"Medio"
"Estadio",1183,0.52,"Alto"
"El Socorro",56,0.8,"Bajo"
"Versalles No.2",46,0.57,"Bajo"
"Bomboná No.1",1029,0.46,"Medio"
"Centro Administrativo",247,0.48,"Bajo"
"Campo Valdés No.2",779,0.83,"Medio"
"Granada",382,0.5,"Medio"
"Los Alpes",356,0.62,"Bajo"
"Facultad de Minas U. Nacional",938,0.6,"Medio"
"La Frisola",NA,NA,NA
"Volcana Guayabal",NA,NA,NA
"La Suiza",NA,NA,NA
"San José de La Montaña",1,1,"Bajo"
"Naranjal",NA,NA,NA
"Piedras Blancas - Matasano",78,0.85,"Bajo"
"Pajarito",70,0.7,"Bajo"
"El Uvito",NA,NA,NA
"Travesías",NA,NA,NA
"Pedregal Alto",33,0.82,"Bajo"
"El Patio",NA,NA,NA
