"NOMBRE_BAR","NOMBRE_COM","Riesgo","colores"
"Loreto","BUENOS AIRES","Moderado","#ffa333"
"Suburbano Mirador del Poblado","SANTA ELENA","Moderado","#ffa333"
"Boyacá","CASTILLA","Moderado","#ffa333"
"Córdoba","ROBLEDO","Moderado","#ffa333"
"Buenos Aires","BUENOS AIRES","Bajo","#006400"
"Santa Mónica","LA AMERICA","Moderado","#ffa333"
"Potrerito","SAN ANTONIO DE PRADO","Moderado","#ffa333"
"Villa Turbay","VILLA HERMOSA","Moderado","#ffa333"
"El Danubio","LA AMERICA","Moderado","#ffa333"
"Corazón de Jesús","LA CANDELARIA","Alto","#d90000"
"Las Mercedes","BELEN","Bajo","#006400"
"El Castillo","EL POBLADO","Bajo","#006400"
"Blanquizal","SAN JAVIER","Moderado","#ffa333"
"Yarumalito","SAN ANTONIO DE PRADO","Moderado","#ffa333"
"Ferrini","LA AMERICA","Bajo","#006400"
"Villa Guadalupe","POPULAR","Moderado","#ffa333"
"Barrio Caicedo","BUENOS AIRES","Moderado","#ffa333"
"Patio Bonito","EL POBLADO","Bajo","#006400"
"Castropol","EL POBLADO","Bajo","#006400"
"Versalles No. 1","MANRIQUE","Moderado","#ffa333"
"Parque Juan Pablo II","GUAYABAL","Bajo","#006400"
"Cabecera San Antonio de Prado","SAN ANTONIO DE PRADO","Alto","#d90000"
"Castilla","CASTILLA","Alto","#d90000"
"Barrio Colón","LA CANDELARIA","Alto","#d90000"
"Caribe","CASTILLA","Alto","#d90000"
"Santo Domingo Savio No. 1","POPULAR","Moderado","#ffa333"
"Bello Horizonte","ROBLEDO","Moderado","#ffa333"
"Manrique Central No. 1","ARANJUEZ","Moderado","#ffa333"
"La Cuchilla","SAN CRISTOBAL","No aplica","#808080"
"Terminal de Transporte","CASTILLA","Alto","#d90000"
"La Palma-El Patio","SAN CRISTOBAL","No aplica","#808080"
"Área de Expansión Pajarito","SAN CRISTOBAL","Moderado","#ffa333"
"Suburbano La Aldea","PALMITAS","No aplica","#808080"
"La Esperanza No. 2","POPULAR","Moderado","#ffa333"
"Las Acacias","LAURELES","Bajo","#006400"
"Buga Patio Bonito","ALTAVISTA","Moderado","#ffa333"
"Aldea Pablo VI","POPULAR","Moderado","#ffa333"
"Santa Fé","GUAYABAL","Alto","#d90000"
"San Pablo","POPULAR","Moderado","#ffa333"
"Villa Hermosa","VILLA HERMOSA","Moderado","#ffa333"
"La Milagrosa","BUENOS AIRES","Moderado","#ffa333"
"Suburbano La Cuchilla","SAN CRISTOBAL","Bajo","#006400"
"Prado","LA CANDELARIA","Alto","#d90000"
"Doce de Octubre No.2","DOCE DE OCTUBRE","Moderado","#ffa333"
"La Gloria","BELEN","Bajo","#006400"
"Moscú No. 2","POPULAR","Moderado","#ffa333"
"La Frontera","SANTA CRUZ","Moderado","#ffa333"
"Jesús Nazareno","LA CANDELARIA","Alto","#d90000"
